12-05-2022 11:28:01 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 11:28:26 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 11:29:33 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:2 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 11:29:35 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 11:29:36 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:2 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 11:30:30 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:2 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 11:31:10 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:2 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 11:31:20 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 11:31:20 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:4 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 11:31:20 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 11:31:20 map[_clientIP:::1 _dataLength:572 _hostname:LAPTOP-P2S904C5 _latency:2 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
